"File","Text.New","Condition","Type","Version","Text.Original","Recording.order","Is.Old.Filename","Verb","file"
"molking_manner_past_tree.wav","Wow, she molked through the tree!","Manner","train2","past","The monster molked through the tree.",14,"Old","molking","molking_manner_past_tree.wav"
"molking_path_future_fountain.wav","Look, she's gonna molk around the fountain.","Path","train2","future","The monster is going to molk around the fountain.",15,"Old","molking","molking_path_future_fountain.wav"
"molking_path_past_fountain.wav","Wow, she molked around the fountain!","Path","train2","past","The monster molked around the fountain.",16,"Old","molking","molking_path_past_fountain.wav"
"molking_manner_future_snowmen.wav","Now she's gonna molk between the snowmen.","Manner","train3","future","The monster is going to molk between the snowmen.",17,"Old","molking","molking_manner_future_snowmen.wav"
"molking_manner_past_snowmen.wav","The monster molked between the snowmen, Wow!","Manner","train3","past","The monster molked between the snowmen.",18,"Old","molking","molking_manner_past_snowmen.wav"
"molking_path_future_drum.wav","Now she's gonna molk around the drum.","Path","train3","future","The monster is going to molk around the drum.",19,"Old","molking","molking_path_future_drum.wav"
"molking_path_past_drum.wav","The monster molked around the drum, Wow!","Path","train3","past","The monster molked around the drum.",20,"Old","molking","molking_path_past_drum.wav"
"pimming_ambig_future_flowers.wav","Look, the monster is gonna pim through the flowers.","Both","ambig","future","The monster is going to pim through the flowers.",1,"New","pimming","pimming_ambig_future_flowers.wav"
"pimming_ambig_past_flowers.wav","Wow, she pimmed through the flowers!","Both","ambig","past","The monster pimmed through the flowers.",2,"New","pimming","pimming_ambig_past_flowers.wav"
"pimming_prompt1.wav","Wow, do you see pimming?","Both","prompt","1",NA,3,"New","pimming","pimming_prompt1.wav"
"pimming_prompt2.wav","Let's find pimming!","Both","prompt","2",NA,4,"New","pimming","pimming_prompt2.wav"
"pimming_prompt3.wav","Where's pimming? Look at pimming!","Both","prompt","3",NA,5,"New","pimming","pimming_prompt3.wav"
"pimming_not.wav","Uh oh! That's not pimming!","Both","negative","1",NA,8.5,"New","pimming","pimming_not.wav"
"pimming_manner_future_barn.wav","Now she's gonna pim into the barn.","Manner","train1","future","The monster is going to pim into the barn.",9,"Old","pimming","pimming_manner_future_barn.wav"
"pimming_manner_past_barn.wav","Whoa, the monster pimmed into the barn!","Manner","train1","past","The monster pimmed into the barn.",10,"Old","pimming","pimming_manner_past_barn.wav"
"pimming_path_future_tunnel.wav","Now she's gonna pim through the tunnel.","Path","train1","future","The monster is going to pim through the tunnel.",11,"Old","pimming","pimming_path_future_tunnel.wav"
"pimming_path_past_tunnel.wav","Whoa, the monster pimmed through the tunnel!","Path","train1","past","The monster pimmed through the tunnel.",12,"Old","pimming","pimming_path_past_tunnel.wav"
"pimming_manner_future_fountain.wav","Look, she's gonna pim around the fountain.","Manner","train2","future","The monster is going to pim around the fountain.",13,"Old","pimming","pimming_manner_future_fountain.wav"
"pimming_manner_past_fountain.wav","Wow, she pimmed around the fountain!","Manner","train2","past","The monster pimmed around the fountain.",14,"Old","pimming","pimming_manner_past_fountain.wav"
"pimming_path_future_trees.wav","Look, she's gonna pim through the tree.","Path","train2","future","The monster is going to pim through the tree.",15,"Old","pimming","pimming_path_future_trees.wav"
"pimming_path_past_trees.wav","Wow, she pimmed through the tree!","Path","train2","past","The monster pimmed through the tree.",16,"Old","pimming","pimming_path_past_trees.wav"
"pimming_manner_future_monkey.wav","Now she's gonna pim up to the monkey.","Manner","train3","future","The monster is going to pim up to the monkey.",17,"Old","pimming","pimming_manner_future_monkey.wav"
"pimming_manner_past_monkey.wav","The monster pimmed up to the monkey, Wow!","Manner","train3","past","The monster pimmed up to the monkey.",18,"Old","pimming","pimming_manner_past_monkey.wav"
"pimming_path_future_waterfall.wav","Now she's gonna pim through the waterfall.","Path","train3","future","The monster is going to pim through the waterfall.",19,"Old","pimming","pimming_path_future_waterfall.wav"
"pimming_path_past_waterfall.wav","The monster pimmed through the waterfall, Wow!","Path","train3","past","The monster pimmed through the waterfall.",20,"Old","pimming","pimming_path_past_waterfall.wav"
"torging_ambig_future_trees.wav","Look, the monster is gonna torg between the trees.","Both","ambig","future","The monster is going to torg between the trees.",1,"New","torging","torging_ambig_future_trees.wav"
"torging_ambig_past_trees.wav","Wow, she torged between the trees!","Both","ambig","past","The monster torged between the trees.",2,"New","torging","torging_ambig_past_trees.wav"
"torging_prompt1.wav","Wow, do you see torging?","Both","prompt","1",NA,3,"New","torging","torging_prompt1.wav"
"torging_prompt2.wav","Let's find torging!","Both","prompt","2",NA,4,"New","torging","torging_prompt2.wav"
"torging_prompt3.wav","Where's torging? Look at torging!","Both","prompt","3",NA,5,"New","torging","torging_prompt3.wav"
"torging_not.wav","Uh oh! That's not torging!","Both","negative","1",NA,8.5,"New","torging","torging_not.wav"
"torging_manner_future_eagle.wav","Now she's gonna torg down to the eagle.","Manner","train1","future","The monster is going to torg down to the eagle.",9,"Old","torging","torging_manner_future_eagle.wav"
"torging_manner_past_eagle.wav","Whoa, the monster torged down to the eagle!","Manner","train1","past","The monster torged down to the eagle.",10,"Old","torging","torging_manner_past_eagle.wav"
"torging_path_future_mailboxes.wav","Now she's gonna torg between the mailboxes.","Path","train1","future","The monster is going to torg between the mailboxes.",11,"Old","torging","torging_path_future_mailboxes.wav"
"torging_path_past_mailboxes.wav","Whoa, the monster torged between the mailboxes!","Path","train1","past","The monster torged between the mailboxes.",12,"Old","torging","torging_path_past_mailboxes.wav"
"torging_manner_future_snowman.wav","Look, she's gonna torg up to the snowman.","Manner","train2","future","The monster is going to torg up to the snowman.",13,"Old","torging","torging_manner_future_snowman.wav"
"torging_manner_past_snowman.wav","Wow, she torged up to the snowman!","Manner","train2","past","The monster torged up to the snowman.",14,"Old","torging","torging_manner_past_snowman.wav"
"torging_path_future_seesaws.wav","Look, she's gonna torg between the seesaws.","Path","train2","future","The monster is going to torg between the seesaws.",15,"Old","torging","torging_path_future_seesaws.wav"
"torging_path_past_seesaws.wav","Wow, she torged between the seesaws!","Path","train2","past","The monster torged between the seesaws.",16,"Old","torging","torging_path_past_seesaws.wav"
"torging_manner_future_drum.wav","Now she's gonna torg around the drum.","Manner","train3","future","The monster is going to torg around the drum.",17,"Old","torging","torging_manner_future_drum.wav"
"torging_manner_past_drum.wav","The monster torged around the drum, Wow!","Manner","train3","past","The monster torged around the drum.",18,"Old","torging","torging_manner_past_drum.wav"
"torging_path_future_snowmen.wav","Now she's gonna torg between the snowmen.","Path","train3","future","The monster is going to torg between the snowmen.",19,"Old","torging","torging_path_future_snowmen.wav"
"torging_path_past_snowmen.wav","The monster torged between the snowmen, Wow!","Path","train3","past","The monster torged between the snowmen.",20,"Old","torging","torging_path_past_snowmen.wav"
"zarking_ambig_future_cat.wav","Look, the monster is gonna zark up to the cat.","Both","ambig","future","The monster is going to zark up to the cat.",1,"New","zarking","zarking_ambig_future_cat.wav"
"zarking_ambig_past_cat.wav","Wow, she zarked up to the cat!","Both","ambig","past","The monster zarked up to the cat.",2,"New","zarking","zarking_ambig_past_cat.wav"
"zarking_prompt1.wav","Wow, do you see zarking?","Both","prompt","1",NA,3,"New","zarking","zarking_prompt1.wav"
"zarking_prompt2.wav","Let's find zarking!","Both","prompt","2",NA,4,"New","zarking","zarking_prompt2.wav"
"zarking_prompt3.wav","Where's zarking? Look at zarking!","Both","prompt","3",NA,5,"New","zarking","zarking_prompt3.wav"
"zarking_not.wav","Uh oh! That's not zarking!","Both","negative","1",NA,8.5,"New","zarking","zarking_not.wav"
"zarking_manner_future_penguin.wav","Now she's gonna zark in front of the penguin.","Manner","train1","future","The monster is going to zark in front of the penguin.",9,"Old","zarking","zarking_manner_future_penguin.wav"
"zarking_manner_past_penguin.wav","Whoa, the monster zarked in front of the penguin!","Manner","train1","past","The monster zarked in front of the penguin.",10,"Old","zarking","zarking_manner_past_penguin.wav"
"zarking_path_future_owl.wav","Now she's gonna zark up to the owl.","Path","train1","future","The monster is going to zark up to the owl.",11,"Old","zarking","zarking_path_future_owl.wav"
"zarking_path_past_owl.wav","Whoa, the monster zarked up to the owl!","Path","train1","past","The monster zarked up to the owl.",12,"Old","zarking","zarking_path_past_owl.wav"
"zarking_manner_future_seesaws.wav","Look, she's gonna zark between the seesaws.","Manner","train2","future","The monster is going to zark between the seesaws.",13,"Old","zarking","zarking_manner_future_seesaws.wav"
"zarking_manner_past_seesaws.wav","Wow, she zarked between the seesaws!","Manner","train2","past","The monster zarked between the seesaws.",14,"Old","zarking","zarking_manner_past_seesaws.wav"
"zarking_path_future_snowman.wav","Look, she's gonna  zark up to the snowman.","Path","train2","future","The monster is going to zark up to the snowman.",15,"Old","zarking","zarking_path_future_snowman.wav"
"zarking_path_past_snowman.wav","Wow, she zarked up to the snowman!","Path","train2","past","The monster zarked up to the snowman.",16,"Old","zarking","zarking_path_past_snowman.wav"
"zarking_manner_future_waterfall.wav","Now she's gonna zark through the waterfall.","Manner","train3","future","The monster is going to zark through the waterfall.",17,"Old","zarking","zarking_manner_future_waterfall.wav"
"zarking_manner_past_waterfall.wav","The monster zarked through the waterfall, Wow!","Manner","train3","past","The monster zarked through the waterfall.",18,"Old","zarking","zarking_manner_past_waterfall.wav"
"zarking_path_future_monkey.wav","Now she's gonna zark up to the monkey.","Path","train3","future","The monster is going to zark up to the monkey.",19,"Old","zarking","zarking_path_future_monkey.wav"
"zarking_path_past_monkey.wav","The monster zarked up to the monkey, Wow!","Path","train3","past","The monster zarked up to the monkey.",20,"Old","zarking","zarking_path_past_monkey.wav"
